dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.012312009903058,0.003628405836038241,1.2337577079888433
real,SFD,5,1.0039932940761123,0.0033913642822691117,0.07014179200632498
real,ImprovedSFD,5,1.0029613767150984,0.003287107386606546,0.004090292030014098
real,FD,10,1.0209656332156196,0.0036280667609369316,1.5850718329893425
real,SFD,10,1.0048870277024788,0.0025184653370430928,0.06633508298546076
real,ImprovedSFD,10,1.0033244738013034,0.0024420668044603036,0.007879416982177645
real,FD,15,1.0203535817535048,0.0036279211740603773,1.7840272500179708
real,SFD,15,1.0026365013975929,0.002419856176704792,0.07010054204147309
real,ImprovedSFD,15,1.001013659184882,0.0022477624403010304,0.01481449999846518
real,FD,20,1.021039332759132,0.0036270915874776154,1.818287500005681
real,SFD,20,1.0015844121731707,0.002170147839644946,0.0731654999544844
real,ImprovedSFD,20,1.000508190057588,0.0019915242567167006,0.017132374981883913
real,FD,50,1.0197095005985413,0.003624672686774564,2.23552650003694
real,SFD,50,1.0005370683627897,0.0017417642840359135,0.09510637499624863
real,ImprovedSFD,50,1.0000826846517565,0.0015305971162675766,0.05318920797435567
real,FD,100,1.0198503872810771,0.003600264926566416,2.5054633340332657
real,SFD,100,1.0001784571435028,0.0013628155220203368,0.16807670902926475
real,ImprovedSFD,100,1.0000164537161826,0.0012553773096454289,0.11995258298702538
