dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,SFD,50,1.0001545212512528,0.004999778653142645,0.3927828750165645
real,ImprovedSFD,50,1.0000772335353296,0.004754730186191824,0.6523493329877965
real,SFD,60,1.000091380977862,0.004524569603525316,0.46403470798395574
real,ImprovedSFD,60,1.0000567206988662,0.004232370903236056,0.7027310420235153
real,SFD,70,1.0000613028106016,0.004126940601362044,0.47318137501133606
real,ImprovedSFD,70,1.000040393042307,0.0038925920233888788,0.8007159999979194
real,SFD,80,1.000049411390109,0.003808067452201499,0.5253032089967746
real,ImprovedSFD,80,1.0000299497322853,0.003589952813588171,0.8265452499908861
real,SFD,90,1.000035217261853,0.0035085772985575083,0.582288083009189
real,ImprovedSFD,90,1.000024124404798,0.0033882068278223206,0.9177030409919098
real,SFD,100,1.0000271201175974,0.003306709097525562,0.5966404999780934
real,ImprovedSFD,100,1.0000210565648855,0.0031909996102691155,0.9611008329957258
