dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec,varied_param,param_value,n,d,z,l
synthetic,SFD,50,1.0043332438564343,0.006869651199702342,0.26634945801924914,d,4000.0,10000.0,4000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.000897123162256,0.0066319629155580945,0.14502766699297354,d,4000.0,10000.0,4000.0,100.0,50.0
synthetic,FD,50,1.0143236231045816,0.007120087678577784,2.6954412500490434,d,5000.0,10000.0,5000.0,100.0,50.0
synthetic,SFD,50,1.0040868654711255,0.006846738120613941,0.23600924998754635,d,5000.0,10000.0,5000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.0006233819624117,0.00659844775148806,0.13254191703163087,d,5000.0,10000.0,5000.0,100.0,50.0
synthetic,FD,50,1.0143627846262397,0.007130352414098594,3.0047617920208722,d,6000.0,10000.0,6000.0,100.0,50.0
synthetic,SFD,50,1.0038843474831303,0.0068775699760164465,0.2557390409638174,d,6000.0,10000.0,6000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.0006255214409887,0.006660814171799421,0.13107779202982783,d,6000.0,10000.0,6000.0,100.0,50.0
synthetic,FD,5,1.0091419551303082,0.007185330286180887,0.36365324998041615,l,5.0,10000.0,1000.0,100.0,5.0
synthetic,SFD,5,1.0080041950381706,0.0071855388877373125,0.1913657920085825,l,5.0,10000.0,1000.0,100.0,5.0
synthetic,ImprovedSFD,5,1.0075312347077583,0.007185513673482158,0.03389987500850111,l,5.0,10000.0,1000.0,100.0,5.0
synthetic,FD,10,1.01956681963606,0.007184128423638946,0.40546654199715704,l,10.0,10000.0,1000.0,100.0,10.0
synthetic,SFD,10,1.0148789257325748,0.007183658512012223,0.1912695830105804,l,10.0,10000.0,1000.0,100.0,10.0
synthetic,ImprovedSFD,10,1.012657999728398,0.007184253197883611,0.04686762497294694,l,10.0,10000.0,1000.0,100.0,10.0
synthetic,FD,15,1.0191903479442435,0.007182741997715389,0.442986625013873,l,15.0,10000.0,1000.0,100.0,15.0
synthetic,SFD,15,1.0149783019033873,0.007182326383314925,0.2065609580022283,l,15.0,10000.0,1000.0,100.0,15.0
synthetic,ImprovedSFD,15,1.0117593936689846,0.0071775718789986055,0.06026075000409037,l,15.0,10000.0,1000.0,100.0,15.0
synthetic,FD,20,1.0178169848989695,0.007180789913733752,0.5403243749751709,l,20.0,10000.0,1000.0,100.0,20.0
synthetic,SFD,20,1.0132279349459563,0.0071766505591894,0.2033565000165254,l,20.0,10000.0,1000.0,100.0,20.0
synthetic,ImprovedSFD,20,1.0090600426571494,0.007156178010343742,0.06720829202095047,l,20.0,10000.0,1000.0,100.0,20.0
synthetic,FD,50,1.0146716439673513,0.007157289213930221,0.8974705830332823,l,50.0,10000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.008161118172292,0.007071850877270585,0.26819233305286616,l,50.0,10000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.002848818103444,0.0067765256841267815,0.1593377499957569,l,50.0,10000.0,1000.0,100.0,50.0
synthetic,FD,100,1.0069693413893945,0.006883455263929019,0.9630418329616077,l,100.0,10000.0,1000.0,100.0,100.0
synthetic,SFD,100,1.0009754550389927,0.006095843540737787,0.35108170902822167,l,100.0,10000.0,1000.0,100.0,100.0
synthetic,ImprovedSFD,100,1.0001329064504678,0.005663848437522279,0.3384102919953875,l,100.0,10000.0,1000.0,100.0,100.0
synthetic,FD,50,1.0023821927572636,0.0024075778024155448,0.9205816659959964,z,5.0,10000.0,1000.0,5.0,50.0
synthetic,SFD,50,1.0024434799664002,0.0005928713598899195,0.18502504198113456,z,5.0,10000.0,1000.0,5.0,50.0
synthetic,ImprovedSFD,50,1.0002259091638754,0.00029409078959231585,0.05686429201159626,z,5.0,10000.0,1000.0,5.0,50.0
