dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.0521221507556613,0.15097174346584363,18.4845160410041
real,SFD,5,1.0277514654414375,0.02728110336210112,1.4611300000105985
real,ImprovedSFD,5,1.0220850824654428,0.012505748206162032,0.07756979099940509
real,FD,10,1.057771827500642,0.07043811405500344,21.877987542015035
real,SFD,10,1.0429942189925412,0.01392737496815308,1.5260788339655846
real,ImprovedSFD,10,1.018184278063626,0.007075878273702865,0.12718533299630508
real,FD,15,1.0468682068922113,0.045437002680458936,24.952557417040225
real,SFD,15,1.029797471324589,0.011187709090261316,1.5993766660103574
real,ImprovedSFD,15,1.006309298994262,0.004500302470052232,0.19584141700761393
real,FD,20,1.0445971620670862,0.033528713718394915,27.73467520799022
real,SFD,20,1.0270944582129613,0.010072304873226096,1.6195649589644745
real,ImprovedSFD,20,1.0030937453677833,0.004011723749501776,0.26648762496188283
real,FD,50,1.0395227707754657,0.012947534127316269,38.118686874979176
real,SFD,50,1.013577166025657,0.005861420451404917,2.1202765409834683
real,ImprovedSFD,50,1.0000041851769872,0.0017840445462364947,1.0192382920067757
real,FD,100,1.0210823699404334,0.0065018176756657655,38.066458916990086
real,SFD,100,1.0054541313835308,0.0036032193685436803,2.971098957990762
real,ImprovedSFD,100,1.0000003895397298,0.0013618347823547534,2.38471249997383
