dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
ablation_rcv1,SFD,50,1.0001545212512526,0.004999778653142645,0.39168070899904706
ablation_rcv1,ImprovedSFD,50,1.0000772335353296,0.004754730186191824,0.6575318749819417
ablation_rcv1,SFD+BK,50,1.000082648714269,0.004829664599559875,0.4959817080234643
ablation_rcv1,SFD+FastDenseShrink,50,1.0001545212512528,0.004999778653142642,0.31632974999956787
ablation_rcv1,SFD+ORS,50,1.0001649811967512,0.004904355441107411,0.6354749579913914
ablation_rcv1,SFD,60,1.000091380977862,0.004524569603525316,0.43541037500835955
ablation_rcv1,ImprovedSFD,60,1.0000567206988662,0.004232370903236056,0.6993152080103755
ablation_rcv1,SFD+BK,60,1.0000561703405721,0.004341507273590384,0.5923862500058021
ablation_rcv1,SFD+FastDenseShrink,60,1.000091380977862,0.004524569603525305,0.348434665997047
ablation_rcv1,SFD+ORS,60,1.0001039502400915,0.004386575040095186,0.6755986249772832
ablation_rcv1,SFD,70,1.0000613028106016,0.004126940601362044,0.4887203749967739
ablation_rcv1,ImprovedSFD,70,1.000040393042307,0.0038925920233888788,0.7932323749992065
ablation_rcv1,SFD+BK,70,1.0000440287106154,0.003994855103944929,0.6675003750133328
ablation_rcv1,SFD+FastDenseShrink,70,1.0000613028106016,0.004126940601362042,0.3795980419963598
ablation_rcv1,SFD+ORS,70,1.0000671735142412,0.003963362458819653,0.7301529999822378
ablation_rcv1,SFD,80,1.000049411390109,0.003808067452201499,0.5415841250214726
ablation_rcv1,ImprovedSFD,80,1.0000299497322853,0.003589952813588171,0.8297354170063045
ablation_rcv1,SFD+BK,80,1.0000344175372031,0.0036991836269869255,0.7455615829967428
ablation_rcv1,SFD+FastDenseShrink,80,1.0000494113901095,0.003808067452201474,0.40569075001985766
ablation_rcv1,SFD+ORS,80,1.0000449549153838,0.003712085943686053,0.7873277500038967
ablation_rcv1,SFD,90,1.0000352172618527,0.0035085772985575083,0.5548905840259977
ablation_rcv1,ImprovedSFD,90,1.0000241244047983,0.0033882068278223206,0.9079667080077343
ablation_rcv1,SFD+BK,90,1.00002806218882,0.003464566880825162,0.7997813749825582
ablation_rcv1,SFD+FastDenseShrink,90,1.000035217261853,0.0035085772985575087,0.4322916660166811
ablation_rcv1,SFD+ORS,90,1.0000341209645884,0.0034133797862885102,0.8303963750076946
ablation_rcv1,SFD,100,1.0000271201175974,0.003306709097525562,0.5774367089907173
ablation_rcv1,ImprovedSFD,100,1.0000210565648855,0.0031909996102691155,0.9798773330112454
ablation_rcv1,SFD+BK,100,1.0000235131746458,0.0032528059237434286,0.8371725000033621
ablation_rcv1,SFD+FastDenseShrink,100,1.0000271201175972,0.003306709097525548,0.45370262500364333
ablation_rcv1,SFD+ORS,100,1.0000258365744348,0.003178448496537285,0.8558291669760365
