dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.021078699361578,0.005502496412185347,0.4085514170001261
real,SFD,5,1.006694952364635,0.005150135218545378,0.03367441601585597
real,ImprovedSFD,5,1.005009122995678,0.005084850153624043,0.002326540998183191
real,FD,10,1.0360880395914336,0.005502458316830385,0.49681520799640566
real,SFD,10,1.007624698257507,0.0044738434562264385,0.03488474996993318
real,ImprovedSFD,10,1.0044342010068281,0.0038902325432185587,0.004529999976512045
real,FD,15,1.034834578616563,0.005501692874462283,0.5425770829897374
real,SFD,15,1.003876778124733,0.003896622647537518,0.03723970800638199
real,ImprovedSFD,15,1.0012455472897954,0.00340355404896747,0.006961041013710201
real,FD,20,1.0346858373997223,0.0055005456808482804,0.5744879159610718
real,SFD,20,1.002712816788042,0.003561383007369467,0.03760083398083225
real,ImprovedSFD,20,1.000852674702515,0.0032214895580181726,0.0101702919928357
real,FD,50,1.0311915159241671,0.005478099462210997,0.7821906669996679
real,SFD,50,1.0007644574576924,0.0027057060364961156,0.05470370902912691
real,ImprovedSFD,50,1.0001367879559404,0.0024557942325235784,0.0321494999807328
real,FD,100,1.0277848625772275,0.005473478834024333,0.8623384590027854
real,SFD,100,1.0001940732000654,0.0021822475004606118,0.08695154101587832
real,ImprovedSFD,100,1.0000174138011566,0.0020080303469850068,0.07526424998650327
